,date,follower_count,retweet_count,tweet,tweet_id,user_id,location,alt_location,is_retweet
2321,2018-12-13,648,1,"GMU is expanding it's #ArlingtonVA campus in response to #AmazonHQ2 
https://t.co/uGKb1MHHA0",1073013632370393088,373032873,Arlington,,False
2295,2018-12-13,58768,1,Representatives of the tech company answered questions regarding the economic impact of the project in the first of https://t.co/4ddk06e8vH,1073338523770593280,12011422,,,False
2302,2018-12-13,2288,0,The #AmazonHQ2 invasion in New York and Virginia will be a slow one https://t.co/VbDCRslgH5,1073206503644020736,34389938,New York,Virginia,False
2301,2018-12-13,28899,0,Amazons plans for a New York office are under new scrutiny - The Verge https://t.co/gD9bycH1PK https://t.co/C7j3oApqIA,1073246443048222720,3064266184,New York,,False
2300,2018-12-13,5932,0,#Amazon meets public opposition at first hearing for New York headquarters - #Occupy #BoycottAmazon #AmazonHQ2  https://t.co/XNhNcf48Dp,1073258321950330880,260724365,New York,,False
2299,2018-12-13,6,1,"RT @Arnaud_Simon3: and the winners are.... NYC and Arlington, Virginia
#AmazonHQ2 #Amazon #cloud #AWS #awscloud #NYC #WashingtonDC @Reuters",1073265307085459456,1045337811740635136,nyc,Virginia,True
2298,2018-12-13,10969,0,.@NYCCouncil members expressed frustration with the tax breaks @amazon was offered in exchange for locating its https://t.co/LxLAf4gz3R,1073276659644665857,461219840,nyc,,False
2297,2018-12-13,432,0,Looks like I have lots of time to brace myself for all of those new additions to Long Island City!  #Amazon https://t.co/q0EjJoTivv,1073287088001441793,329153662,,,False
2294,2018-12-13,15072,1,RT @BrianLehrer: Representatives of the tech company answered questions regarding the economic impact of the project in the first of three,1073338661842886658,28345779,,,True
2304,2018-12-13,48,0,"Good job New York City on the winning #AmazonHQ2 bid!
https://t.co/WSTGUYdbEI",1073092620006522880,467271688,New York,,False
2293,2018-12-13,201,0,New York Amazon warehouse employees push to unionize https://t.co/PHUC9h5HFq via @techcrunch&lt;&lt; love this! Well play https://t.co/eWeiOp3j7c,1073356511177510913,67439462,New York,,False
2291,2018-12-13,712,0,"If they'd set up shop in Houston or Dallas, nobody would be finding ways to complain about all those new jobs added https://t.co/oUXL3YoovT",1073212017828356096,840803691053613056,Dallas,,False
2290,2018-12-13,1919,0,"@AGCOFDC GETS #AMAZONHQ2 AND CONGRATS TO @Austin_AGC @Apple CAMPUS... SO EXCITING
https://t.co/zDto4WKzer",1073279056190291970,540291135,Austin,dc,False
