Month	United States	New York	Los Angeles	Chicago	Dallas	Philadelphia	DC	Miami	Atlanta	Boston	Denver	Pittsburgh	Columbus	Indianapolis	Austin	Nashville	Raleigh
2010-01	102	228	271	133	77	132	189	104	75	198	145	80	90	75	102	93	103
2010-02	102	228	271	133	76	132	189	104	75	198	145	80	90	74	102	93	103
2010-03	102	228	271	132	76	132	189	103	74	198	145	80	90	74	103	93	102
2010-04	102	227	271	131	76	131	188	102	74	198	145	79	90	74	103	93	103
2010-05	102	226	272	131	77	131	188	101	73	199	145	79	90	75	102	93	103
2010-06	102	226	272	130	76	131	188	101	73	199	145	80	91	75	102	92	103
2010-07	101	225	270	128	76	131	188	100	73	199	145	80	90	74	102	92	103
2010-08	101	225	269	127	76	130	188	99	72	199	144	81	90	74	102	92	102
2010-09	100	224	268	127	76	129	187	98	72	198	143	80	90	74	102	91	101
2010-10	100	223	267	125	76	128	187	97	71	198	143	80	89	74	102	91	100
2010-11	99	221	266	124	76	127	187	97	71	197	142	80	89	74	103	90	101
2010-12	99	220	264	123	75	126	186	96	70	197	142	79	88	74	102	90	100
2011-01	98	218	262	122	75	125	185	96	69	195	141	79	87	74	102	89	100
2011-02	97	216	261	121	75	124	184	95	68	193	140	79	87	73	102	89	100
2011-03	96	215	260	120	75	123	184	94	67	192	139	79	87	73	102	88	99
2011-04	96	215	259	118	75	123	183	95	66	192	139	79	87	72	101	88	99
2011-05	95	214	257	117	75	122	183	95	65	192	139	79	86	72	101	88	98
2011-06	95	213	256	117	74	122	183	95	64	192	138	78	85	71	100	87	98
2011-07	94	212	255	116	74	121	183	94	64	192	138	78	84	71	100	87	98
2011-08	94	211	254	115	74	120	183	94	63	191	138	77	84	71	100	87	97
2011-09	94	210	252	113	74	119	183	94	62	190	138	77	84	71	100	86	97
2011-10	94	209	250	112	74	119	183	94	61	190	137	77	84	71	100	86	97
2011-11	94	208	249	112	74	119	182	95	60	189	137	77	84	71	100	87	97
2011-12	94	207	249	112	73	118	182	94	60	189	137	78	84	71	100	87	97
2012-01	94	207	248	110	74	118	181	94	60	189	138	78	85	70	101	87	97
2012-02	94	206	248	109	74	117	181	94	60	189	138	78	85	70	101	87	97
2012-03	94	205	248	109	74	118	182	95	60	188	139	78	85	70	101	87	97
2012-04	94	205	249	109	74	118	182	95	60	189	140	78	84	70	101	87	97
2012-05	94	204	251	109	74	118	184	96	59	190	141	78	84	70	101	87	96
2012-06	94	205	253	109	74	117	186	96	59	191	142	77	84	70	102	87	97
2012-07	95	205	255	110	74	117	187	96	60	191	144	78	83	70	102	87	97
2012-08	95	205	256	109	74	117	187	97	60	192	145	78	83	70	102	88	98
2012-09	95	205	258	110	74	117	188	97	60	193	146	78	82	70	102	88	98
2012-10	96	205	261	110	74	117	188	97	61	194	147	78	83	71	102	88	98
2012-11	96	205	264	111	75	117	188	98	61	194	148	78	83	71	103	88	99
2012-12	96	205	267	110	76	117	190	99	62	195	149	78	83	71	103	88	99
2013-01	97	205	270	110	75	117	191	100	63	194	149	79	84	71	104	89	99
2013-02	97	206	274	110	75	117	192	100	63	195	151	79	84	71	104	89	99
2013-03	98	207	280	111	76	117	193	102	64	197	152	80	84	71	104	90	99
2013-04	98	207	286	111	76	117	194	104	65	200	154	80	85	71	104	90	100
2013-05	99	208	291	111	76	117	196	105	66	201	155	80	85	71	105	91	100
2013-06	99	208	297	112	77	118	197	107	66	202	156	81	85	71	105	91	101
2013-07	100	209	302	113	77	118	198	108	66	204	158	80	86	71	106	92	101
2013-08	101	210	306	113	78	119	200	110	67	205	160	80	87	71	107	92	102
2013-09	101	211	309	114	78	119	201	111	68	206	161	81	88	71	108	93	102
2013-10	102	211	311	115	78	119	202	113	69	208	162	81	88	71	109	93	102
2013-11	102	213	313	115	78	120	203	114	70	209	163	81	89	71	109	94	102
