value	text	
0	In Atlanta, an anonymous group of activists with roots in the Occupy movement has set up http://AtlantaAgainstAmazon.org , a website that compares the HQ2 process to “something like a televised Hunger Games death-match” #NoHQ2 #AmazonHQ2 #FuckAmazon
0	With one tweet, @caseycagle has torpedoed whatever chance #Atlanta might have had with #Amazonhq2
0	Great debate on whether Atlanta could deal with 11 more mins of traffic for #AmazonHQ2. This is just a snippet. Things really got heated when @chesley11alive started talking. Hopefully you caught #MorningRushATL today. Happy almost Friday!
1	.@CNBC of all places has put together an interesting ranking of #AmazonHQ2 cities. NY, Atlanta & Chicago top 3. DC, Boston & Toronto further down the list: https://www.cnbc.com/2017/10/19/ok-amazon-here-are-some-cities-you-should-consider-calling-home.
1	What's your bet for home city for #AmazonHQ2? Paddy Power puts 2-1 odds on #Atlanta
1	Let's bring #AmazonHQ2 to the only city of choice...#Atlanta. Our city is Top choice. #retweet if you agree. #blogger
0	Our traffic already sucks. Can you fix it? Otherwise, nevermind
0	Hey @amazon, please stay the hell out of Austin. We don't want you to ruin us like you ruined Seattle. #AmazonHQ2
0	#Austin lawmakers are hiding their bid for #AmazonHQ2. Is it because they know that those millions of dollars should be going to the struggling public school system? #NoToAmazonHQ2
1	Amazon commercial mentioned the weather in Austin. They're moving here. It's over.
1	If @amazon is really data driven, #Austin should be the city for Amazon's $5 billion HQ2 #AmazonHQ2
1	Moody’s put Austin at No. 1 to win #AmazonHQ2
0	This is an underdiscussed part of the problem with the possibility of #AmazonHQ2 coming to Boston: Amazon would exert outsize control over city and state politics.
0	Throwing money at Amazon will solve none of Boston's problems and just create more. #AmazonHQ2 #NoAmazonInBoston
0	Sliver lining? Tea leafs suggests Boston out of the running for Amazon's HQ2. If Boston, it would ignite an immediate increase in already sky-high rents and home prices
1	Rooting for the #AmazonHQ2 proposals from #Boston and #UnionPoint in #Weymouth today! #jobs #build
1	It could be that I live in Boston, but I really think Boston has a decent chance of getting #AmazonHQ2
1	Robot predicts #Boston will win #AmazonHQ2.
0	Money for kids and education, no  handouts for corporations #AmazonHQ2 #twill #chicago
0	Will Chicago's #AmazonHQ2 bid come at a cost to public transit?
0	In January we sued the City of Chicago to publicly release the #AmazonHQ2 bid. The public should know what incentives the city is offering amazon.
1	EDITORIAL: Chicago is Jeff Bezos’ kind of town, though he may not yet know it. #AmazonHQ2
1	@ChicagolandCmbr President and CEO Lavin: "As the voice of our region’s business community, we stand ready to dig deeper and show Amazon that #Chicago is the greatest city to live and work."
1	proud to be supporting Chicago's efforts for #AmazonHQ2 - check out this amazing video we submitted with our bid - thanks for the voice over
0	#Columbus could be giving our schools the money the need, but is instead promising billions of dollars for #AmazonHQ2. #NoToAmazonHQ2
0	Was bored and crunching rough numbers and it's laughable the 'density' that Columbus has compared to cities it compares itself to. Building strip malls and annexing farmland for subdivisions isn't a city, it's a suburb trying to claim a city title. Have fun with that, #AmazonHQ2
0	Lest we forget, the same sheriff's office that killed #JosephHaynes has been accused of torture in the county jail by the UN. #Columbus #opportunitycity #smartcity #AmazonHQ2
1	Columbus is centrally located, has high-quality higher education, a large and talented workforce, robust transportation infrastructure, and a business-friendly environment. In other words, it's the perfect place for #AmazonHQ2.
1	Come on @amazon just choose Columbus. We promise you’ll like it here. #ohio #ColumbusOhio #AmazonHQ2
1	Columbus is open for business. Proud to lead the #Ohio delegation letter urging @amazon to select Cbus for its #AmazonHQ2:
0	Dear @amazon - #Dallas is full! Please look elsewhere for new #AmazonHQ2
0	1. More from @profgalloway on #AmazonHQ2: "Dallas… you’re done. You have good universities, but not enough of them, and Amazon needs an Amazonian pipeline of the best and brightest to support its growth."
0	You can say Dallas and Texas is better than this, but clearly not. Don't be confused when #AmazonHQ2 doesn't come here. #txlege
1	Excited the DFW Region made #AmazonHQ2 Top 20 list. #DFW is a PRIME location for @amazon's new headquarters! Extremely proud of all the hard work @FTWChamber, @RobSturns, @Gengelbach & @DRChamber put in to showcasing Dallas-Fort Worth & all it has to offer.
